"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FGP","TH","THA","THP","TW","TWA","TWP","eFGP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","FOU","PTS","FA","PER","TSP","TPAr","FTr","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USGP","OWS","DWS","WS","WSPFE","OBPM","DBPM","BPM","VORP","PG","SG","SF","PF","C"
"1","Quincy Acy","PF","24","NYK","68","22","18.9","2.2","4.9",".459","0.3","0.9",".300","2.0","4.0",".494",".486","1.1","1.4",".784","1.2","3.3","4.4","1.0","0.4","0.3","0.9","2.2","5.9","0","11.9",".533",".181",".293","6.9","20.5","13.5","8.7","1.1","1.4","13.8","15.5","1.0","0.7","1.7",".063","-2.3","-0.8","-3.1","-0.3","0","0","1","1","0"
"2","Jordan Adams","SG","20","MEM","30","0","8.3","1.2","2.9",".407","0.3","0.8",".400","0.8","2.0",".410",".465","0.5","0.8",".609","0.3","0.6","0.9","0.5","0.5","0.2","0.5","0.8","3.1","1","12.8",".489",".291",".267","4.2","8.7","6.4","10.1","3.4","2.3","12.7","20.4","0.0","0.4","0.4",".073","-1.8","1.2","-0.6","0.1","0","1","0","0","0"
"3","Steven Adams","C","21","OKC","70","67","25.3","3.1","5.7",".544","0.0","0.0",".000","3.1","5.7",".547",".544","1.5","2.9",".502","2.8","4.6","7.5","0.9","0.5","1.2","1.4","3.2","7.7","1","14.1",".549",".005",".514","12.2","19.3","15.8","5.5","1.1","3.8","16.8","14.3","1.9","2.2","4.1",".111","-1.4","1.8","0.4","1.1","0","0","0","0","1"
"4","Jeff Adrien","PF","28","MIN","17","0","12.6","1.1","2.6",".432","0.0","0.0",".000","1.1","2.6",".432",".432","1.3","2.2",".579","1.4","3.2","4.5","0.9","0.2","0.5","0.5","1.8","3.5","0","14.2",".494",".000",".864","11.9","29.6","20.5","10.5","0.9","3.3","12.9","14.3","0.2","0.2","0.4",".087","-2.7","0.5","-2.2","0.0","0","0","1","1","0"
"5","Arron Afflalo","SG","29","TOT","78","72","32.1","4.8","11.3",".424","1.5","4.3",".354","3.3","7.1",".466",".491","2.1","2.5",".843","0.3","2.8","3.2","1.7","0.5","0.1","1.5","2.1","13.3","0","10.7",".533",".377",".224","1.1","9.7","5.3","8.2","0.8","0.2","10.7","19.0","1.6","1.0","2.6",".050","-0.5","-1.3","-1.8","0.1","0","1","1","0","0"
"6","Alexis Ajinca","C","26","NOP","68","8","14.1","2.7","4.8",".550","0.0","0.0",".000","2.7","4.8",".550",".550","1.2","1.5",".818","1.5","3.1","4.6","0.7","0.3","0.8","1.0","2.2","6.5","0","19.9",".595",".000",".301","12.4","25.0","18.7","8.2","1.2","4.0","15.6","21.1","1.9","1.2","3.2",".159","-0.5","0.6","0.2","0.5","0","0","0","1","1"
"7","Furkan Aldemir","PF","23","PHI","41","9","13.2","1.0","1.9",".513","0.0","0.1",".000","1.0","1.8",".548",".513","0.3","0.7",".481","1.9","2.4","4.3","0.7","0.4","0.4","0.4","2.3","2.3","0","12.0",".517",".064",".346","14.9","20.7","17.7","8.3","1.6","2.4","15.9","8.6","0.7","0.7","1.4",".122","-2.7","2.0","-0.7","0.2","0","0","0","1","0"
"8","Cole Aldrich","C","26","NYK","61","16","16.0","2.4","4.9",".478","0.0","0.0",".000","2.4","4.9",".478",".478","0.8","1.0",".781","1.7","3.9","5.5","1.2","0.6","1.1","1.0","2.0","5.5","0","18.1",".513",".000",".213","11.6","28.9","20.0","13.3","2.0","5.5","15.2","18.3","0.8","1.4","2.2",".107","-2.2","3.1","0.9","0.7","0","0","0","0","1"
"9","LaMarcus Aldridge","PF","29","POR","71","71","35.4","9.3","19.9",".466","0.5","1.5",".352","8.8","18.5",".475",".479","4.3","5.1",".845","2.5","7.7","10.2","1.7","0.7","1.0","1.7","1.8","23.4","0","22.8",".528",".074",".256","7.7","22.9","15.5","9.2","1.0","1.9","7.2","30.2","4.9","3.7","8.6",".165","0.3","0.0","0.3","1.4","0","0","0","1","1"
"10","Lavoy Allen","C","25","IND","63","0","17.0","2.2","4.7",".472","0.0","0.0",".000","2.2","4.7",".472",".472","0.5","0.7",".702","2.0","3.2","5.1","1.2","0.2","0.7","0.6","1.6","5.0","1","14.9",".493",".000",".157","12.8","20.5","16.7","10.9","0.7","3.1","11.1","15.2","1.3","1.6","2.8",".127","-1.4","2.2","0.8","0.8","0","0","0","1","1"
