"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FGP","TH","THA","THP","TW","TWA","TWP","eFGP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","FOU","PTS","FA","PER","TSP","TPAr","FTr","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USGP","OWS","DWS","WS","WSPFE","OBPM","DBPM","BPM","VORP","PG","SG","SF","PF","C"
"416","Jeffery Taylor","SF","24","CHA","26","8","24.2","3.2","8.4",".376","0.7","2.6",".269","2.5","5.8",".424",".417","1.0","1.8",".553","0.6","1.7","2.3","0.8","0.5","0.2","1.0","2.4","8.0","0","5.9",".436",".307",".216","2.7","8.1","5.4","5.7","1.1","0.6","9.5","19.4","-0.8","0.6","-0.2","-0.019","-4.2","-1.2","-5.4","-0.5","0","1","1","0","0"
"417","Tyshawn Taylor","PG","23","BRK","23","3","11.7","1.3","4.0",".341","0.1","0.5",".250","1.2","3.4",".354",".357","1.0","1.3",".800","0.1","0.5","0.7","1.6","0.5","0.0","1.3","1.3","3.9","0","5.4",".427",".132",".330","1.3","5.3","3.3","21.4","2.3","0.3","22.9","23.5","-0.7","0.2","-0.6","-0.098","-7.0","-2.7","-9.7","-0.5","1","0","0","0","0"
"418","Jeff Teague","PG","25","ATL","79","79","32.2","5.8","13.2",".438","0.9","2.8",".329","4.8","10.3",".469",".474","4.0","4.8",".846","0.4","2.2","2.6","6.7","1.1","0.2","2.9","2.0","16.5","1","17.1",".541",".216",".362","1.6","7.9","4.7","35.1","1.8","0.5","16.1","25.7","3.3","1.9","5.2",".098","0.9","-2.0","-1.1","0.6","1","0","0","0","0"
"419","Marquis Teague","SG","20","TOT","40","3","11.1","1.0","3.0",".319","0.1","0.5",".278","0.8","2.5",".327",".340","0.7","0.9",".743","0.0","1.0","1.0","1.5","0.3","0.1","1.0","1.2","2.7","0","3.8",".398",".151",".294","0.3","10.2","5.3","20.6","1.2","0.9","22.5","18.2","-1.0","0.4","-0.5","-0.059","-7.6","-1.2","-8.8","-0.8","1","0","0","0","0"
"420","Mirza Teletovic","SF","28","BRK","72","7","19.4","3.1","7.3",".418","1.9","4.8",".390","1.2","2.5",".472",".546","0.6","0.9",".710","0.8","2.9","3.7","0.8","0.4","0.3","0.8","2.0","8.6","0","14.3",".559",".660",".117","5.2","17.6","11.4","7.1","1.1","1.4","8.8","20.5","1.6","1.1","2.7",".094","1.5","-2.0","-0.5","0.5","0","0","1","1","0"
"421","Garrett Temple","SG","27","WAS","75","0","8.5","0.7","1.9",".362","0.1","0.4",".207","0.6","1.5",".402",".383","0.4","0.6",".698","0.3","0.6","0.9","1.0","0.5","0.1","0.6","1.0","1.8","0","7.8",".431",".206",".305","3.8","8.7","6.2","15.8","2.8","1.4","20.8","14.3","-0.5","0.9","0.3",".025","-4.6","1.0","-3.7","-0.3","1","1","0","0","0"
"422","Jason Terry","PG","36","BRK","35","0","16.3","1.6","4.3",".362","1.1","2.9",".379","0.5","1.4",".327",".490","0.3","0.4",".667","0.1","0.9","1.1","1.6","0.4","0.0","0.8","1.4","4.5","1","7.4",".501",".678",".099","0.8","6.9","3.9","15.3","1.2","0.0","14.5","15.3","0.0","0.2","0.2",".016","-1.4","-2.8","-4.2","-0.3","1","1","0","0","0"
"423","Hasheem Thabeet","C","26","OKC","23","0","8.3","0.6","1.0",".565","0.0","0.0",".000","0.6","1.0",".565",".565","0.0","0.2",".200","0.4","1.3","1.7","0.0","0.2","0.4","0.6","2.0","1.2","0","2.6",".536",".000",".217","5.6","17.4","11.7","0.7","1.0","3.8","35.7","9.0","-0.2","0.3","0.0",".012","-6.8","1.0","-5.8","-0.2","0","0","0","0","1"
"424","Adonis Thomas","SF","20","TOT","6","1","6.2","1.0","2.3",".429","0.2","0.8",".200","0.8","1.5",".556",".464","0.2","0.2","1.000","0.0","0.5","0.5","0.5","0.0","0.0","0.2","1.0","2.3","0","7.3",".485",".357",".071","0.0","9.2","4.6","13.4","0.0","0.0","6.5","18.5","0.0","0.0","0.0",".001","-4.0","-5.7","-9.7","-0.1","0","0","0","1","0"
"425","Isaiah Thomas","PG","24","SAC","72","54","34.7","6.9","15.2",".453","1.8","5.1",".349","5.1","10.2",".504",".510","4.8","5.7",".850","0.7","2.3","2.9","6.3","1.3","0.1","3.0","2.6","20.3","0","20.5",".574",".332",".371","2.1","7.5","4.7","32.2","1.9","0.3","14.3","26.3","6.4","1.3","7.7",".149","5.0","-2.1","2.9","3.1","1","0","0","0","0"
