Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGP,TH,THA,THP,TW,TWA,TWP,eFGP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FA
268,Richard Jefferson,SF,35,CLE,51,3,18.5,2.0,4.3,.464,1.0,2.4,.402,1.0,1.9,.541,.575,0.7,1.2,.613,0.2,1.4,1.6,0.8,0.5,0.2,0.6,1.9,5.7,1
269,Larry Nance Jr.,PF,23,LAL,43,22,19.8,2.6,4.7,.542,0.0,0.1,.333,2.5,4.7,.545,.544,0.5,0.7,.688,1.5,3.3,4.9,0.7,0.8,0.3,0.7,2.0,5.7,0
270,Charlie Villanueva,PF,31,DAL,46,4,11.9,2.3,5.9,.385,0.8,3.0,.259,1.5,2.8,.519,.452,0.3,0.4,.889,0.4,2.3,2.7,0.4,0.3,0.2,0.6,1.3,5.7,1
271,Lavoy Allen,PF,26,IND,55,21,21.4,2.6,5.1,.507,0.0,0.0,.000,2.6,5.1,.507,.507,0.5,0.8,.568,2.1,3.5,5.6,1.0,0.4,0.5,0.9,1.8,5.6,0
272,Aron Baynes,C,29,DET,56,0,14.3,2.2,4.5,.490,0.0,0.0,.000,2.2,4.4,.494,.490,1.2,1.7,.716,1.6,2.9,4.5,0.7,0.3,0.6,0.9,1.9,5.6,0
273,Bryce Dejean-Jones,SG,23,NOP,14,11,19.9,2.0,4.9,.406,0.9,2.3,.375,1.1,2.6,.432,.493,0.8,1.5,.524,0.6,2.9,3.4,1.1,0.7,0.1,0.8,1.2,5.6,0
274,Maurice Harkless,SF,22,POR,55,3,17.5,2.2,4.6,.484,0.5,1.6,.284,1.8,3.0,.591,.534,0.7,1.3,.554,1.2,2.1,3.3,0.9,0.6,0.4,0.8,1.3,5.6,1
275,Boban Marjanovic,C,27,SAS,36,1,8.5,1.9,3.1,.616,0.0,0.0,.000,1.9,3.1,.616,.616,1.7,2.3,.747,1.3,2.2,3.5,0.4,0.3,0.4,0.6,1.1,5.6,1
276,Donatas Motiejunas,PF,25,HOU,14,1,13.4,2.2,4.4,.500,0.5,1.2,.412,1.7,3.2,.533,.556,0.6,1.0,.643,0.5,1.6,2.1,1.0,0.4,0.1,1.8,1.8,5.6,1
277,Tiago Splitter,C,31,ATL,36,2,16.1,2.3,4.3,.523,0.0,0.1,.000,2.3,4.3,.529,.523,1.1,1.3,.813,1.3,2.1,3.3,0.8,0.6,0.3,0.7,2.0,5.6,0
278,Cole Aldrich,C,27,LAC,34,2,11.7,2.2,4.0,.548,0.0,0.0,.000,2.2,4.0,.548,.548,1.1,1.8,.639,1.3,2.8,4.1,1.0,0.6,0.8,1.0,2.2,5.5,1
279,JaMychal Green,PF,25,MEM,51,5,15.0,2.1,4.3,.498,0.2,0.4,.500,1.9,3.9,.497,.521,1.1,1.4,.753,1.2,2.8,4.0,0.4,0.4,0.3,0.9,2.3,5.5,0
280,Anthony Morrow,SG,30,OKC,50,5,14.4,2.0,5.0,.403,1.2,3.0,.393,0.8,2.0,.418,.522,0.3,0.4,.810,0.2,0.9,1.0,0.3,0.4,0.1,0.2,1.0,5.5,0
281,Cameron Payne,PG,21,OKC,39,0,12.1,2.2,5.0,.436,0.8,2.1,.383,1.4,2.9,.474,.515,0.3,0.4,.800,0.2,1.5,1.7,2.0,0.7,0.1,0.7,1.4,5.5,0
282,Bismack Biyombo,C,23,TOR,55,18,22.2,1.8,3.4,.524,0.0,0.0,.000,1.8,3.4,.527,.524,1.8,2.8,.652,2.2,5.9,8.1,0.3,0.2,1.5,1.0,2.9,5.4,1
283,Troy Daniels,SG,24,CHO,27,0,10.6,2.0,4.3,.470,1.3,2.6,.500,0.7,1.7,.422,.622,0.1,0.3,.500,0.2,1.1,1.3,0.4,0.2,0.0,0.6,1.0,5.4,1
284,Anthony Tolliver,PF,30,DET,55,4,19.8,1.8,4.7,.380,1.4,3.8,.367,0.4,0.9,.438,.529,0.5,0.7,.641,0.6,2.8,3.4,0.8,0.4,0.2,0.4,1.3,5.4,1
285,Tyler Zeller,C,26,BOS,40,3,10.5,2.2,4.5,.494,0.0,0.0,.000,2.2,4.5,.494,.494,1.0,1.4,.727,1.1,1.8,2.8,0.4,0.2,0.2,0.9,1.6,5.4,1
286,Andrew Bogut,C,31,GSW,47,43,20.9,2.5,4.1,.603,0.0,0.0,.000,2.5,4.1,.603,.603,0.3,0.8,.410,1.8,5.7,7.5,2.1,0.4,1.8,1.1,3.1,5.3,0
287,Ryan Kelly,PF,24,LAL,20,0,13.0,1.8,4.6,.391,0.3,1.5,.172,1.6,3.2,.492,.418,1.4,2.1,.683,0.6,3.2,3.8,0.8,0.4,0.4,0.6,1.0,5.3,1
288,JaVale McGee,C,28,DAL,32,2,11.1,2.4,4.1,.585,0.0,0.0,.000,2.4,4.0,.589,.585,0.6,1.1,.500,1.6,2.5,4.1,0.1,0.2,0.8,0.7,1.5,5.3,0
289,Jordan McRae,PG,24,PHO,7,0,11.7,1.6,3.7,.423,0.4,1.6,.273,1.1,2.1,.533,.481,1.7,2.1,.800,0.3,0.9,1.1,1.4,0.4,0.0,0.9,1.0,5.3,0
290,Tony Snell,SF,24,CHI,53,29,20.5,2.0,5.3,.375,0.9,2.5,.351,1.1,2.9,.395,.456,0.5,0.5,.893,0.3,3.0,3.3,0.9,0.3,0.3,0.8,1.4,5.3,0
291,Amar'e Stoudemire,C,33,MIA,28,13,14.4,2.1,4.1,.517,0.0,0.0,.000,2.1,4.1,.517,.517,1.0,1.5,.707,1.3,3.4,4.6,0.8,0.3,0.8,1.0,1.4,5.3,1
292,Mario Hezonja,SF,20,ORL,52,0,15.0,1.9,4.4,.430,0.7,2.1,.355,1.2,2.4,.496,.513,0.7,0.7,.944,0.4,1.5,1.8,1.1,0.3,0.2,1.1,1.3,5.2,0
293,Rondae Hollis-Jefferson,SF,21,BRK,19,14,22.1,2.1,4.3,.481,0.1,0.3,.200,2.0,4.0,.500,.488,1.1,1.6,.667,1.7,4.4,6.1,1.4,1.4,0.4,1.1,2.2,5.2,0
294,Channing Frye,C,32,TOT,45,29,17.0,1.8,4.2,.434,1.1,2.7,.390,0.8,1.5,.515,.561,0.4,0.5,.905,0.5,2.7,3.2,1.0,0.5,0.4,0.7,1.6,5.1,0
295,James Johnson,PF,28,TOR,43,22,15.6,2.0,4.0,.500,0.3,1.0,.341,1.7,3.0,.550,.541,0.7,1.2,.604,0.5,1.7,2.2,1.0,0.5,0.6,0.9,1.3,5.0,1
296,JaKarr Sampson,SF,22,TOT,48,18,14.7,1.8,4.3,.420,0.1,0.7,.171,1.7,3.5,.471,.434,1.3,2.0,.639,0.6,2.1,2.7,0.6,0.3,0.4,1.1,1.9,5.0,0
297,Lance Stephenson,SF,25,TOT,44,10,16.0,2.0,4.0,.500,0.4,1.1,.404,1.6,2.9,.535,.554,0.6,0.8,.735,0.4,2.1,2.5,1.4,0.6,0.1,1.1,1.8,5.0,1
298,Andre Roberson,SG,24,OKC,45,45,21.7,2.0,4.1,.495,0.4,1.4,.274,1.6,2.7,.607,.541,0.5,0.8,.611,1.1,2.2,3.3,0.8,0.9,0.7,0.6,1.8,4.9,0
299,Brian Roberts,PG,30,TOT,31,0,10.9,1.7,3.8,.454,0.3,0.9,.357,1.4,2.9,.484,.496,1.1,1.2,.919,0.1,0.8,0.9,1.2,0.2,0.0,0.5,0.7,4.9,1
300,Vince Carter,SG,39,MEM,37,0,14.2,1.6,4.4,.373,0.7,2.4,.281,0.9,1.9,.486,.450,0.8,1.0,.861,0.4,1.6,1.9,0.7,0.5,0.2,0.5,1.5,4.8,0
301,Jerian Grant,PG,23,NYK,53,0,15.7,1.7,4.7,.356,0.2,1.1,.161,1.5,3.6,.414,.374,1.3,1.6,.793,0.3,1.4,1.7,2.5,0.5,0.1,1.1,1.3,4.8,0
302,Shelvin Mack,PG,25,TOT,26,1,9.0,2.0,4.5,.444,0.2,1.3,.176,1.8,3.2,.554,.470,0.6,0.8,.727,0.1,0.9,1.0,1.8,0.3,0.0,0.8,0.6,4.8,0
303,Metta World Peace,SF,36,LAL,20,3,17.4,1.6,5.2,.298,0.9,2.6,.333,0.7,2.7,.264,.380,0.8,1.3,.640,0.6,2.0,2.6,0.9,0.6,0.5,0.4,1.9,4.8,1
304,D.J. Augustin,PG,28,TOT,37,0,15.9,1.5,3.8,.387,0.8,1.9,.408,0.7,1.9,.366,.489,0.9,1.2,.791,0.1,1.2,1.3,2.2,0.5,0.1,1.0,1.3,4.7,1
305,Brandon Rush,SG,30,GSW,46,24,15.5,1.7,4.0,.434,1.0,2.3,.421,0.7,1.6,.453,.558,0.3,0.5,.636,0.3,2.3,2.7,0.9,0.3,0.3,0.5,0.8,4.7,1
306,Beno Udrih,PG,33,TOT,44,5,16.1,2.0,4.5,.434,0.3,1.0,.341,1.6,3.5,.461,.472,0.4,0.5,.900,0.2,1.5,1.6,2.6,0.3,0.0,1.2,1.2,4.7,1
307,Jeff Withey,C,25,UTA,40,9,14.2,1.8,3.4,.537,0.0,0.1,.000,1.8,3.4,.545,.537,1.0,1.4,.727,1.2,2.5,3.7,0.4,0.5,1.2,0.7,1.6,4.7,0
308,Alexis Ajinca,C,27,NOP,44,7,12.3,2.0,4.0,.483,0.0,0.0,.000,2.0,4.0,.486,.483,0.7,0.8,.833,1.1,3.0,4.0,0.4,0.3,0.5,0.6,2.1,4.6,0
309,Nemanja Bjelica,PF,27,MIN,46,0,17.9,1.6,3.7,.429,0.7,2.1,.354,0.8,1.6,.527,.529,0.5,0.8,.658,0.7,2.5,3.2,1.3,0.4,0.3,0.7,2.6,4.5,0
310,Trey Lyles,PF,20,UTA,54,29,16.7,1.8,4.2,.423,0.4,0.9,.400,1.4,3.3,.429,.467,0.6,0.9,.660,0.8,3.0,3.8,0.7,0.2,0.2,0.8,1.4,4.5,0
311,Nikola Pekovic,C,30,MIN,12,3,13.0,1.6,4.2,.380,0.0,0.0,.000,1.6,4.2,.380,.380,1.3,1.7,.800,0.6,1.2,1.8,0.9,0.1,0.0,0.8,1.8,4.5,0
312,Ronnie Price,PG,32,PHO,37,3,15.5,1.5,3.9,.396,0.9,2.5,.380,0.6,1.4,.423,.517,0.5,0.5,.895,0.3,0.9,1.2,1.8,1.1,0.2,0.8,2.4,4.5,1
313,Chase Budinger,SF,27,IND,43,2,15.1,1.6,4.0,.404,0.4,1.5,.302,1.2,2.5,.463,.459,0.7,1.0,.705,0.6,1.8,2.4,1.0,0.6,0.2,0.6,0.9,4.4,1
314,Spencer Dinwiddie,PG,22,DET,9,0,12.3,1.6,3.9,.400,0.1,0.8,.143,1.4,3.1,.464,.414,1.2,2.1,.579,0.0,1.0,1.0,1.4,0.2,0.0,0.6,1.8,4.4,0
315,Tim Hardaway,SG,23,ATL,27,0,15.1,1.6,4.1,.375,0.5,2.1,.241,1.0,2.0,.519,.438,0.8,0.8,.955,0.2,1.5,1.7,1.0,0.4,0.1,0.4,0.9,4.4,0
316,Ian Clark,SG,24,GSW,45,1,9.4,1.6,3.6,.456,0.6,1.4,.413,1.0,2.2,.485,.538,0.4,0.5,.870,0.2,0.8,1.0,1.0,0.2,0.2,0.7,0.9,4.3,1
317,Dante Cunningham,SF,28,NOP,54,20,20.5,1.7,3.9,.438,0.6,1.8,.330,1.1,2.1,.532,.514,0.4,0.5,.714,0.7,2.3,3.0,0.6,0.4,0.4,0.3,2.0,4.3,0
318,Joakim Noah,C,30,CHI,29,2,21.9,1.8,4.6,.383,0.0,0.0,.000,1.8,4.6,.386,.383,0.8,1.6,.489,3.0,5.8,8.8,3.8,0.6,1.0,1.8,2.7,4.3,1
319,Kyle O'Quinn,PF,25,NYK,46,1,11.0,1.8,3.8,.469,0.0,0.3,.071,1.8,3.5,.503,.471,0.7,0.9,.721,1.1,2.4,3.5,1.1,0.4,0.7,1.0,1.7,4.3,0
320,Steve Blake,PG,35,DET,33,0,15.7,1.6,4.0,.394,0.9,2.6,.365,0.6,1.4,.447,.511,0.2,0.2,.714,0.2,1.3,1.5,2.9,0.4,0.1,1.4,1.2,4.2,1
321,Willie Reed,PF,25,BRK,28,0,10.0,1.8,3.0,.600,0.0,0.0,.000,1.8,3.0,.600,.600,0.6,1.1,.500,1.0,1.6,2.6,0.2,0.1,0.6,0.5,1.2,4.2,1
322,Kyle Anderson,SF,22,SAS,52,6,14.0,1.6,3.4,.475,0.1,0.4,.300,1.5,3.0,.497,.492,0.8,1.1,.727,0.3,2.0,2.3,1.4,0.5,0.4,0.7,1.1,4.1,0
323,Phil Pressey,PG,24,TOT,16,0,14.1,1.6,4.3,.368,0.3,1.1,.235,1.3,3.2,.412,.397,0.7,1.4,.478,0.1,1.6,1.6,3.8,0.8,0.3,1.6,1.3,4.1,0
324,Jonas Jerebko,PF,28,BOS,57,0,14.1,1.4,3.4,.413,0.5,1.2,.409,0.9,2.3,.415,.482,0.7,0.9,.765,0.9,2.4,3.4,0.8,0.2,0.2,0.6,1.8,4.0,0
325,Shabazz Napier,PG,24,ORL,44,0,12.1,1.4,4.0,.345,0.6,1.9,.329,0.7,2.0,.360,.425,0.7,0.9,.763,0.2,0.9,1.1,2.0,0.5,0.0,1.0,0.8,4.0,0
326,Joseph Young,PG,23,IND,31,0,9.4,1.6,3.9,.402,0.3,1.0,.250,1.3,2.9,.456,.434,0.6,0.7,.783,0.2,0.9,1.1,1.5,0.4,0.0,0.8,0.7,4.0,0
327,Alonzo Gee,SF,28,NOP,56,34,21.4,1.6,3.2,.486,0.3,0.9,.288,1.3,2.3,.566,.528,0.5,0.7,.725,0.7,2.3,3.0,0.9,0.9,0.2,0.7,2.3,3.9,1
328,Joe Ingles,SF,28,UTA,55,0,14.0,1.4,3.4,.418,0.9,2.3,.364,0.6,1.1,.533,.542,0.2,0.2,.750,0.2,1.3,1.6,1.0,0.5,0.1,0.7,1.2,3.9,0
329,Josh McRoberts,PF,28,MIA,28,0,15.7,1.5,3.5,.414,0.3,1.2,.212,1.2,2.4,.515,.449,0.8,1.1,.677,0.6,2.4,3.0,2.0,0.5,0.2,0.9,1.7,3.9,0
330,C.J. Watson,PG,31,ORL,11,0,17.6,1.4,3.8,.357,0.5,1.5,.294,0.9,2.3,.400,.417,0.7,0.9,.800,0.5,1.5,2.0,2.4,1.0,0.0,0.8,1.0,3.9,0
331,Omer Asik,C,29,NOP,48,44,17.3,1.5,2.6,.551,0.0,0.0,.000,1.5,2.6,.551,.551,0.9,1.5,.554,2.0,4.2,6.2,0.3,0.3,0.4,0.9,1.9,3.8,0
332,Anthony Brown,SF,23,LAL,25,8,19.0,1.3,4.0,.317,0.7,2.3,.298,0.6,1.8,.341,.401,0.6,0.7,.824,0.3,1.9,2.2,0.5,0.4,0.2,0.6,1.0,3.8,0
333,Markel Brown,SG,24,BRK,38,4,11.9,1.2,3.4,.359,0.5,1.6,.305,0.8,1.9,.403,.427,0.9,1.2,.756,0.2,1.0,1.2,1.0,0.4,0.1,0.6,1.3,3.8,1
334,Kirk Hinrich,SG,35,CHI,35,7,15.9,1.3,3.4,.398,0.7,1.6,.411,0.7,1.8,.387,.496,0.4,0.5,.938,0.2,1.5,1.7,1.7,0.4,0.0,0.8,1.8,3.8,1
335,Glenn Robinson,PF,22,IND,38,4,11.6,1.4,3.3,.417,0.3,0.8,.333,1.1,2.6,.443,.457,0.7,1.0,.711,0.3,1.3,1.6,0.6,0.4,0.2,0.4,0.5,3.8,0
336,Luke Babbitt,SF,26,NOP,25,5,13.1,1.3,3.4,.381,0.8,2.2,.339,0.5,1.1,.464,.494,0.4,0.5,.692,0.3,2.0,2.2,0.4,0.1,0.1,0.2,1.6,3.7,0
337,Tyus Jones,PG,19,MIN,12,0,11.7,1.4,3.8,.370,0.3,0.7,.500,1.1,3.2,.342,.413,0.5,0.7,.750,0.3,1.3,1.7,1.8,0.4,0.1,0.8,0.8,3.7,0
338,Kelly Oubre,SF,20,WAS,47,9,11.3,1.4,3.3,.416,0.4,1.3,.350,0.9,2.0,.457,.484,0.6,0.8,.711,0.4,1.7,2.1,0.2,0.3,0.1,0.5,1.6,3.7,0
339,Kevin Seraphin,C,26,NYK,35,0,10.4,1.7,4.1,.407,0.0,0.0,.000,1.7,4.1,.410,.407,0.3,0.4,.733,0.7,1.5,2.2,1.1,0.2,0.7,1.0,1.3,3.7,1
340,Noah Vonleh,PF,20,POR,53,42,16.1,1.5,3.6,.425,0.1,0.5,.207,1.4,3.1,.463,.440,0.5,0.6,.824,1.4,2.8,4.2,0.5,0.4,0.3,0.6,2.0,3.7,0
341,Montrezl Harrell,PF,22,HOU,29,1,10.0,1.4,2.2,.651,0.0,0.0,.000,1.4,2.2,.651,.651,0.8,1.4,.524,0.7,1.1,1.7,0.3,0.3,0.2,0.4,1.4,3.6,0
342,Darrun Hilliard,SF,22,DET,25,0,9.2,1.3,3.1,.423,0.4,1.1,.357,0.9,2.0,.460,.487,0.6,0.8,.667,0.2,0.8,1.0,0.6,0.2,0.0,0.6,0.8,3.6,0
