"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FGP","TH","THA","THP","TW","TWA","TWP","eFGP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","FOU","PTS","FA","PER","TSP","TPAr","FTr","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USGP","OWS","DWS","WS","WSPFE","OBPM","DBPM","BPM","VORP","PG","SG","SF","PF","C"
"417","Tristan Thompson","PF","24","CLE","65","30","28.2","3.2","5.4",".585","0.0","0.0",".000","3.2","5.4",".585",".585","1.8","2.9",".624","3.4","6.1","9.5","0.7","0.4","0.5","0.8","2.4","8.2","0","16.0",".609",".000",".537","13.7","24.1","19.0","3.8","0.6","1.6","10.3","11.9","4.6","2.5","7.1",".187","0.2","1.0","1.2","1.5","0","0","0","1","1"
"418","Marcus Thornton","SG","28","TOT","49","6","18.9","3.6","9.2",".394","1.5","4.6",".333","2.1","4.6",".454",".477","1.0","1.2",".879","0.6","1.8","2.4","1.4","0.7","0.1","0.8","1.6","9.8","1","14.1",".505",".498",".128","3.7","10.5","7.0","12.9","1.9","0.3","7.9","24.2","0.7","0.4","1.1",".058","0.5","-3.4","-2.9","-0.2","0","1","1","0","0"
"419","Anthony Tolliver","PF","30","DET","57","4","19.2","1.7","4.6",".377","1.4","3.7",".363","0.4","0.8",".438",".525","0.4","0.7",".641","0.6","2.7","3.3","0.8","0.4","0.2","0.4","1.3","5.2","1","10.3",".538",".815",".150","3.1","16.2","9.4","5.7","1.1","0.9","6.7","11.8","1.3","1.1","2.4",".107","0.1","0.3","0.4","0.7","0","0","1","1","0"
"420","Axel Toupane","SF","23","DEN","5","0","13.4","1.4","4.2",".333","0.8","2.6",".308","0.6","1.6",".375",".429","1.0","1.0","1.000","0.4","0.4","0.8","1.0","0.8","0.4","0.0","2.8","4.6","0","11.7",".496",".619",".238","3.3","3.4","3.3","11.1","3.0","2.4","0.0","15.1","0.1","0.1","0.2",".136","1.2","-0.6","0.6","0.0","0","0","1","0","0"
"421","Karl-Anthony Towns","C","20","MIN","66","66","31.1","7.4","13.6",".545","0.3","0.9",".344","7.1","12.6",".560",".557","2.6","3.2",".820","2.9","7.4","10.3","1.7","0.7","1.8","2.2","3.0","17.7","0","22.9",".592",".068",".236","10.8","27.4","19.2","10.3","1.1","4.7","12.7","24.7","4.4","2.2","6.6",".154","1.7","1.1","2.8","2.5","0","0","0","0","1"
"422","P.J. Tucker","SF","30","PHO","66","64","30.1","2.5","6.4",".398","0.8","2.3",".333","1.8","4.1",".435",".459","1.1","1.5",".714","1.7","4.0","5.7","1.9","1.2","0.2","1.3","2.5","6.9","0","9.6",".491",".363",".232","6.2","14.8","10.4","9.2","2.0","0.7","15.1","11.9","0.7","1.1","1.8",".044","-1.1","1.2","0.1","1.1","0","1","1","0","0"
"423","Evan Turner","SG","27","BOS","66","4","27.3","4.0","9.0",".449","0.2","1.0",".176","3.8","7.9",".485",".459","1.8","2.2",".815","0.6","4.3","4.9","4.5","1.0","0.3","2.1","1.6","10.0","1","13.5",".505",".115",".247","2.4","16.7","9.5","24.6","1.8","0.9","17.5","18.7","0.6","2.5","3.2",".084","-2.1","1.4","-0.7","0.6","0","1","1","0","0"
"424","Myles Turner","C","19","IND","44","20","22.7","4.5","8.9",".506","0.1","0.2",".300","4.5","8.7",".512",".510","1.6","2.3",".697","1.1","4.0","5.1","0.5","0.3","1.5","0.9","2.6","10.7","0","16.1",".538",".025",".252","5.3","19.3","12.3","3.8","0.7","5.2","8.4","20.9","1.0","1.6","2.5",".122","-3.3","0.7","-2.5","-0.1","0","0","0","1","1"
"425","Beno Udrih","PG","33","TOT","44","5","16.1","2.0","4.5",".434","0.3","1.0",".341","1.6","3.5",".461",".472","0.4","0.5",".900","0.2","1.5","1.6","2.6","0.3","0.0","1.2","1.2","4.7","0","9.6",".496",".222",".101","1.3","10.0","5.7","25.4","1.0","0.1","20.4","16.8","-0.1","0.6","0.5",".032","-2.9","-1.9","-4.8","-0.5","1","0","0","0","0"
"426","Jonas Valanciunas","C","23","TOR","47","46","26.2","5.0","8.7",".571","0.0","0.0",".000","5.0","8.7",".571",".571","2.9","3.7",".766","3.1","6.0","9.1","0.8","0.4","1.1","1.4","2.7","12.8","0","22.5",".618",".000",".427","14.1","26.1","20.2","5.3","0.8","3.5","12.1","20.4","3.8","1.7","5.5",".215","1.2","0.2","1.4","1.0","0","0","0","0","1"
