"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FGP","TH","THA","THP","TW","TWA","TWP","eFGP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","FOU","PTS","FA","PER","TSP","TPAr","FTr","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USGP","OWS","DWS","WS","WSPFE","OBPM","DBPM","BPM","VORP","PG","SG","SF","PF","C"
"1","Quincy Acy","PF","25","SAC","59","29","14.8","2.0","3.6",".556","0.3","0.8",".388","1.7","2.8",".606",".600","0.8","1.2",".735","1.1","2.1","3.2","0.5","0.5","0.4","0.5","1.7","5.2","0","14.7",".629",".229",".318","8.1","15.1","11.6","4.4","1.6","2.2","10.0","13.1","1.8","0.7","2.5",".137","0.2","0.0","0.2","0.5","0","0","1","1","0"
"2","Jordan Adams","SG","21","MEM","2","0","7.5","1.0","3.0",".333","0.0","0.5",".000","1.0","2.5",".400",".333","1.5","2.5",".600","0.0","1.0","1.0","1.5","1.5","0.0","1.0","1.0","3.5","1","17.3",".427",".167",".833","0.0","15.9","7.6","31.9","10.3","0.0","19.6","30.5","0.0","0.0","0.0",".015","-2.9","4.8","1.9","0.0","0","1","0","0","0"
"3","Steven Adams","C","22","OKC","80","80","25.2","3.3","5.3",".613","0.0","0.0",".000","3.3","5.3",".613",".613","1.4","2.5",".582","2.7","3.9","6.7","0.8","0.5","1.1","1.1","2.8","8.0","1","15.5",".621",".000",".460","12.5","16.1","14.4","4.3","1.0","3.3","14.1","12.6","4.2","2.3","6.5",".155","0.8","1.3","2.1","2.1","0","0","0","0","1"
"4","Arron Afflalo","SG","30","NYK","71","57","33.4","5.0","11.3",".443","1.3","3.4",".382","3.7","7.9",".469",".500","1.5","1.8",".840","0.3","3.4","3.7","2.0","0.4","0.1","1.2","2.0","12.8","0","10.9",".531",".298",".164","1.1","11.0","6.1","9.9","0.5","0.3","8.7","17.9","1.8","0.9","2.7",".055","-0.6","-1.8","-2.4","-0.2","0","1","1","0","0"
"5","Alexis Ajinca","C","27","NOP","59","17","14.6","2.5","5.3",".476","0.0","0.0",".000","2.5","5.3",".478",".476","0.9","1.1",".839","1.3","3.3","4.6","0.5","0.3","0.6","0.9","2.3","6.0","0","13.8",".514",".003",".197","9.3","25.9","17.3","5.8","1.1","3.4","13.6","20.4","0.2","0.9","1.0",".058","-4.3","-0.2","-4.5","-0.5","0","0","0","1","1"
"6","Cole Aldrich","C","27","LAC","60","5","13.3","2.2","3.8",".596","0.0","0.0",".000","2.2","3.8",".596",".596","1.0","1.4",".714","1.4","3.4","4.8","0.8","0.8","1.1","1.1","2.3","5.5","0","21.3",".626",".000",".373","11.9","27.1","19.6","10.0","2.9","6.7","19.6","18.4","1.4","2.0","3.5",".209","-1.0","5.8","4.8","1.4","0","0","0","0","1"
"7","LaMarcus Aldridge","PF","30","SAS","74","74","30.6","7.2","14.1",".513","0.0","0.2",".000","7.2","13.9",".521",".513","3.5","4.1",".858","2.4","6.2","8.5","1.5","0.5","1.1","1.3","2.0","18.0","0","22.4",".565",".015",".289","9.2","22.2","15.9","8.1","0.9","2.8","7.8","25.9","5.6","4.5","10.1",".215","0.7","1.1","1.8","2.2","0","0","0","1","1"
"8","Cliff Alexander","PF","20","POR","8","0","4.5","0.6","1.3",".500","0.0","0.0",".000","0.6","1.3",".500",".500","0.0","0.0",".000","0.3","0.5","0.8","0.0","0.1","0.3","0.1","0.1","1.3","1","11.6",".500",".000",".000","6.0","12.1","9.0","0.0","1.4","4.4","9.1","13.3","0.0","0.0","0.0",".052","-5.7","-1.3","-7.0","0.0","0","0","0","1","0"
"9","Lavoy Allen","PF","26","IND","79","28","20.2","2.4","4.7",".516","0.0","0.0",".000","2.4","4.7",".516",".516","0.6","0.9",".630","2.1","3.3","5.4","1.0","0.3","0.5","0.9","1.9","5.4","1","12.4",".532",".000",".197","11.1","17.8","14.5","7.1","0.8","2.1","14.6","13.0","1.6","2.1","3.7",".110","-2.1","1.4","-0.6","0.6","0","0","0","1","1"
"10","Tony Allen","SG","34","MEM","64","57","25.3","3.4","7.3",".458","0.2","0.7",".357","3.1","6.7",".468",".474","1.4","2.2",".652","1.6","3.0","4.6","1.1","1.7","0.3","1.2","2.7","8.4","1","12.9",".505",".090",".294","7.0","14.1","10.4","6.9","3.5","1.0","12.8","16.8","0.5","1.9","2.4",".072","-1.5","1.4","-0.1","0.8","0","1","1","0","0"
"11","Al-Farouq Aminu","SF","25","POR","82","82","28.5","3.6","8.8",".416","1.5","4.3",".361","2.1","4.5",".468",".503","1.4","1.9",".737","1.2","4.9","6.1","1.7","0.9","0.6","1.5","2.1","10.2","0","12.7",".533",".485",".217","4.5","18.6","11.5","8.8","1.5","1.8","13.2","16.9","1.7","2.3","4.0",".082","-0.4","0.7","0.2","1.3","0","0","1","1","0"
"12","Lou Amundson","PF","33","NYK","29","0","7.0","0.7","1.8",".358","0.0","0.0",".000","0.7","1.8",".358",".358","0.5","0.9",".519","0.8","0.9","1.7","0.4","0.2","0.2","0.5","1.5","1.8","0","6.7",".401",".000",".509","12.5","13.7","13.1","8.8","1.5","2.6","18.8","17.7","-0.3","0.2","-0.1","-0.014","-5.3","0.4","-5.0","-0.2","0","0","0","0","0"
"13","Chris Andersen","C","37","TOT","27","15","14.9","1.4","2.7",".528","0.1","0.5",".286","1.3","2.1",".586",".556","0.9","1.3",".694","1.3","2.3","3.6","0.4","0.6","0.5","0.3","1.1","3.9","1","15.3",".598",".194",".500","9.9","18.2","13.9","4.4","1.9","2.9","9.3","10.8","0.8","0.4","1.3",".149","-0.3","1.1","0.8","0.3","0","0","0","1","1"
"14","Alan Anderson","SG","33","WAS","13","0","14.8","1.6","4.5",".356","0.9","2.8",".324","0.7","1.7",".409",".458","0.8","1.2",".733","0.1","2.0","2.1","1.1","0.3","0.1","0.2","1.9","5.0","1","9.2",".495",".627",".254","0.6","15.5","7.9","10.3","1.0","0.4","3.0","15.4","0.2","0.2","0.3",".078","-1.2","-1.7","-2.8","0.0","0","1","1","0","0"
"15","James Anderson","SG","26","SAC","51","15","14.1","1.3","3.5",".376","0.5","1.7",".267","0.9","1.8",".478",".441","0.4","0.6",".759","0.3","1.4","1.7","0.8","0.4","0.3","0.8","1.1","3.5","0","6.0",".469",".483",".163","2.0","10.9","6.5","7.7","1.4","1.6","18.0","13.7","-0.6","0.4","-0.3","-0.017","-3.9","-0.3","-4.2","-0.4","0","1","1","0","0"
"16","Justin Anderson","SF","22","DAL","55","9","11.8","1.3","3.2",".406","0.4","1.5",".265","0.9","1.7",".533",".469","0.8","1.0",".800","0.3","2.1","2.4","0.5","0.3","0.5","0.4","0.8","3.8","1","12.3",".522",".474",".314","3.1","19.3","11.2","6.8","1.5","3.2","10.8","15.8","0.3","0.8","1.1",".083","-2.5","1.3","-1.2","0.1","0","0","1","0","0"
"17","Kyle Anderson","SF","22","SAS","78","11","16.0","1.8","3.8",".468","0.2","0.5",".324","1.6","3.3",".488",".488","0.8","1.1",".747","0.3","2.8","3.1","1.6","0.8","0.4","0.8","1.2","4.5","1","12.9",".528",".125",".281","2.4","19.4","11.2","13.7","2.5","1.8","15.1","14.4","0.7","2.8","3.5",".133","-1.9","3.7","1.8","1.2","0","0","1","0","0"
