"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FGP","TH","THA","THP","TW","TWA","TWP","eFGP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","FOU","PTS","FA","PER","TSP","TPAr","FTr","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USGP","OWS","DWS","WS","WSPFE","OBPM","DBPM","BPM","VORP","PG","SG","SF","PF","C"
"418","Christian Wood","PF","21","CHO","1","0","3.0","0.0","1.0",".000","0.0","1.0",".000","0.0","0.0",".000",".000","0.0","0.0",".000","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1","-5.2",".000","1.000",".000","0.0","69.5","34.9","0.0","0.0","0.0","0.0","14.7","0.0","0.0","0.0","-0.249","-20.0","-7.2","-27.2","0.0","0","0","0","1","1"
"419","Metta World Peace","SF","37","LAL","4","0","3.0","0.0","1.0",".000","0.0","0.5",".000","0.0","0.5",".000",".000","0.5","1.0",".500","0.3","0.0","0.3","0.0","0.3","0.0","0.0","1.0","0.5","1","-7.2",".174",".500","1.000","9.3","0.0","4.6","0.0","4.0","0.0","0.0","20.4","-0.1","0.0","-0.1","-0.210","-8.2","-4.3","-12.5","0.0","0","0","1","1","0"
"420","James Young","SG","21","BOS","9","0","6.7","0.7","1.6",".429","0.2","0.8",".286","0.4","0.8",".571",".500","0.0","0.0",".000","0.2","0.9","1.1","0.3","0.3","0.0","0.1","0.2","1.6","1","10.5",".500",".500",".000","3.6","14.3","8.9","7.2","2.5","0.0","6.7","11.1","0.0","0.0","0.1",".067","-2.0","-0.4","-2.4","0.0","0","1","0","0","0"
"421","Joe Young","PG","24","IND","10","0","6.4","1.3","3.1",".419","0.3","0.9",".333","1.0","2.2",".455",".468","0.4","0.7",".571","0.0","0.6","0.6","0.6","0.1","0.0","0.0","0.3","3.3","0","14.2",".484",".290",".226","0.0","10.3","5.2","15.1","0.8","0.0","0.0","23.4","0.1","0.0","0.1",".063","-0.7","-5.2","-5.9","-0.1","1","1","0","0","0"
"422","Nick Young","SG","31","LAL","14","14","26.9","4.7","10.4",".455","2.6","6.8",".379","2.1","3.6",".600",".579","2.1","2.2",".968","0.4","2.4","2.8","1.3","0.4","0.4","0.6","3.1","14.1","1","15.8",".624",".655",".214","1.5","10.0","5.8","7.1","0.6","1.1","5.4","18.9","1.1","0.1","1.2",".151","4.0","-3.2","0.8","0.3","0","1","1","0","0"
"423","Thaddeus Young","PF","28","IND","14","14","30.4","4.9","9.3",".531","0.8","1.9",".423","4.1","7.4",".558",".573","0.6","1.4",".421","1.7","4.6","6.3","1.9","1.5","0.4","0.9","1.5","11.2","0","16.3",".567",".200",".146","6.3","16.6","11.4","9.3","2.4","1.2","8.6","15.7","0.6","0.4","1.1",".120","0.9","0.5","1.5","0.4","0","0","1","1","0"
"424","Cody Zeller","PF","24","CHO","11","9","23.5","4.4","7.0",".623","0.0","0.0",".000","4.4","7.0",".623",".623","3.0","4.5",".660","1.5","3.4","4.8","1.3","0.5","1.2","0.7","3.4","11.7","0","20.3",".652",".000",".649","6.5","15.0","10.8","9.1","1.1","4.3","7.5","18.3","0.8","0.4","1.3",".234","1.1","2.0","3.2","0.3","0","0","0","1","1"
"425","Tyler Zeller","C","27","BOS","13","4","16.8","2.8","5.8",".487","0.0","0.0",".000","2.8","5.8",".487",".487","0.8","1.4",".556","1.6","2.7","4.3","1.3","0.3","0.9","0.6","1.8","6.5","0","16.1",".500",".000",".237","10.3","17.1","13.7","12.5","0.9","4.4","8.7","18.6","0.3","0.2","0.5",".102","-1.9","1.1","-0.8","0.1","0","0","0","1","1"
"426","Stephen Zimmerman","C","20","ORL","2","0","5.5","0.5","1.0",".500","0.0","0.0",".000","0.5","1.0",".500",".500","0.0","0.5",".000","1.0","1.0","2.0","0.5","0.0","0.0","0.0","0.0","1.0","0","15.4",".410",".000",".500","18.8","19.8","19.3","14.3","0.0","0.0","0.0","10.0","0.0","0.0","0.0",".116","-0.9","-0.4","-1.3","0.0","0","0","0","0","0"
"427","Paul Zipser","SF","22","CHI","5","0","5.2","0.0","1.0",".000","0.0","0.4",".000","0.0","0.6",".000",".000","0.0","0.0",".000","0.2","1.2","1.4","0.6","0.2","0.0","0.2","0.4","0.0","0","-0.9",".000",".400",".000","4.1","24.4","14.2","14.3","2.0","0.0","16.7","9.9","-0.1","0.0","-0.1","-0.103","-8.5","2.4","-6.1","0.0","0","0","1","0","0"
"428","Ivica Zubac","C","19","LAL","3","1","9.0","1.0","1.7",".600","0.0","0.0",".000","1.0","1.7",".600",".600","0.3","0.7",".500","0.3","1.3","1.7","0.0","0.3","0.0","0.3","2.0","2.3","0","6.6",".595",".000",".400","4.1","16.5","10.3","0.0","1.8","0.0","14.5","10.8","0.0","0.0","0.0",".054","-4.2","-3.2","-7.5","0.0","0","0","0","0","1"
